id,url,date_posted,photos,locality,street,property_type,rooms,area_m2,owner_direct,price_total_zl,price_per_m2_zl,price_total_zl_cleaned,price_per_m2_zl_cleaned
3741324,https://adresowo.pl/o/mieszkanie-lodz-gorna-3-pokojowe-74-m2-d9j8z7,6 dni temu,7.0,Łódź Górna,,Mieszkanie,3,74,True,665 000,8 986zł / m²,665000.0,8986.0
3655868,https://adresowo.pl/o/mieszkanie-lodz-ul-wodna-2-pokojowe-d6q0v4,ponad miesiąc temu,8.0,Łódź,ul. Wodna,Mieszkanie,2,40,True,404 977,10 250zł / m²,404977.0,10250.0
3655862,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-rewolucji-1905-r-3-pokojowe-j3h3f4,ponad miesiąc temu,11.0,Łódź Śródmieście,ul. Rewolucji 1905 r.,Mieszkanie,3,48,True,529 999,11 109zł / m²,529999.0,11109.0
3741306,https://adresowo.pl/o/mieszkanie-lodz-dabrowa-ul-juliusza-kossaka-2-pokojowe-a3m6o3,6 dni temu,10.0,Łódź Dąbrowa,ul. Juliusza Kossaka,Mieszkanie,2,39,True,340 000,8 718zł / m²,340000.0,8718.0
3741106,https://adresowo.pl/o/mieszkanie-lodz-baluty-al-wlokniarzy-2-pokojowe-u2g3d1,6 dni temu,8.0,Łódź Bałuty,al. Włókniarzy,Mieszkanie,2,43,True,345 000,8 023zł / m²,345000.0,8023.0
3655864,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-wodna-4-pokojowe-i3w6z6,ponad miesiąc temu,13.0,Łódź Widzew,ul. Wodna,Mieszkanie,4,112,True,990 000,8 806zł / m²,990000.0,8806.0
3655854,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-pabianicka-3-pokojowe-r2w4w4,ponad miesiąc temu,10.0,Łódź Górna,ul. Pabianicka,Mieszkanie,3,96,True,329 000,3 415zł / m²,329000.0,3415.0
3741076,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-hipoteczna-2-pokojowe-i6u0q6,6 dni temu,18.0,Łódź Bałuty,ul. Hipoteczna,Mieszkanie,2,36,True,365 000,10 027zł / m²,365000.0,10027.0
3740936,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-tylna-2-pokojowe-y4o1b6,6 dni temu,21.0,Łódź Śródmieście,ul. Tylna,Mieszkanie,2,40,True,600 000,14 848zł / m²,600000.0,14848.0
3655850,https://adresowo.pl/o/mieszkanie-lodz-radogoszcz-ul-pasieczna-1-pokoj-t7v1f8,ponad miesiąc temu,12.0,Łódź Radogoszcz,ul. Pasieczna,Mieszkanie,1,31,True,259 000,8 371zł / m²,259000.0,8371.0
3655698,https://adresowo.pl/o/mieszkanie-lodz-2-pokojowe-38-m2-x0r3b1,ponad miesiąc temu,13.0,Łódź,,Mieszkanie,2,38,True,263 000,6 867zł / m²,263000.0,6867.0
3740928,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-plk-dr-stanislawa-wieckowskiego-2-pokojowe-t5j9w0,6 dni temu,1.0,Łódź Śródmieście,ul. płk. dr. Stanisława Więckowskiego,Mieszkanie,2,29,True,182 000,6 276zł / m²,182000.0,6276.0
3740858,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-2-pokojowe-46-m2-t5h0f2,6 dni temu,8.0,Łódź Śródmieście,,Mieszkanie,2,46,True,475 000,10 326zł / m²,475000.0,10326.0
3652198,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-10-lutego-2-pokojowe-q5f8o8,ponad miesiąc temu,4.0,Łódź Widzew,ul. 10 Lutego,Mieszkanie,2,59,True,550 000,9 292zł / m²,550000.0,9292.0
3643482,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-jozefa-3-pokojowe-h9h8r5,ponad miesiąc temu,16.0,Łódź Widzew,ul. Józefa,Mieszkanie,3,54,True,490 000,9 096zł / m²,490000.0,9096.0
3740852,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-pojezierska-2-pokojowe-p1w0f3,6 dni temu,8.0,Łódź Bałuty,ul. Pojezierska,Mieszkanie,2,41,True,337 000,8 220zł / m²,337000.0,8220.0
