Lokalizacja,Ulica,Liczba Pokoi,Metraż (m²),Cena Całkowita (zł),Cena za m² (zł),Typ Oferty,Data Dodania,Liczba Zdjęć,Link do Oferty,Link do Zdjęcia
Łódź Bałuty,,2,45,320000,7111,Bez pośredników,ponad miesiąc temu,1,https://adresowo.pl/o/mieszkanie-lodz-baluty-2-pokojowe-45-m2-l5o9a2,https://s2.adresowa.pl/oi/10/60/38fbe4_752f_cover-2-pokojowe-mieszkanie-lodz-baluty.jpg
Łódź Janów,ul. Jana Skrzetuskiego,2,40,380000,9596,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-janow-ul-jana-skrzetuskiego-2-pokojowe-m7o5m0,https://s2.adresowa.pl/oi/28/7e/38f524_a678_cover-2-pokojowe-mieszkanie-lodz-janow-ul-jana-skrzetuskiego.jpg
Łódź Górna,ul. Ignacego Paderewskiego,2,37,289000,7811,Bez pośredników,ponad miesiąc temu,6,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-ignacego-paderewskiego-2-pokojowe-f0p9o5,https://s2.adresowa.pl/oi/48/37/38f6f0_816f_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-ignacego-paderewskiego.jpg
Łódź Górna,ul. Piasta,3,51,515000,10053,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-piasta-3-pokojowe-i3p2j8,https://s2.adresowa.pl/oi/7d/3b/38f65c_327a_cover-3-pokojowe-mieszkanie-lodz-gorna-ul-piasta.jpg
Łódź Bałuty,ul. Lutomierska,1,25,187000,7450,Bez pośredników,ponad miesiąc temu,11,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-lutomierska-1-pokoj-e3u0l9,https://s2.adresowa.pl/oi/61/68/38f500_b0e8_cover-1-pokojowe-mieszkanie-lodz-baluty-ul-lutomierska.jpg
Łódź Teofilów,ul. Traktorowa,3,49,420000,8571,Bez pośredników,ponad miesiąc temu,6,https://adresowo.pl/o/mieszkanie-lodz-teofilow-ul-traktorowa-3-pokojowe-y3r1k0,https://s2.adresowa.pl/oi/7c/11/38eed0_bb50_cover-3-pokojowe-mieszkanie-lodz-teofilow-ul-traktorowa.jpg
Łódź Śródmieście,ul. Nowomiejska,3,89,265500,2983,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-nowomiejska-3-pokojowe-j1a9n9,https://s2.adresowa.pl/oi/5c/63/38eda6_54ca_cover-3-pokojowe-mieszkanie-lodz-srodmiescie-ul-nowomiejska.jpg
Łódź Górna,ul. Konspiracji,2,35,370000,10571,Bez pośredników,ponad miesiąc temu,14,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-konspiracji-2-pokojowe-k9a6z6,https://s2.adresowa.pl/oi/40/5e/38ed80_4b0e_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-konspiracji.jpg
Łódź Śródmieście,ul. Nawrot,1,29,339000,11690,Bez pośredników,ponad miesiąc temu,14,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-nawrot-1-pokoj-a8r2p9,https://s2.adresowa.pl/oi/49/29/38ec3a_7680_cover-1-pokojowe-mieszkanie-lodz-srodmiescie-ul-nawrot.jpg
Łódź Śródmieście,al. marsz. Józefa Piłsudskiego,2,38,268000,7053,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-al-marsz-jozefa-pilsudskiego-2-pokojowe-i9c8o3,https://s2.adresowa.pl/oi/55/22/38e8fa_d9ba_cover-2-pokojowe-mieszkanie-lodz-srodmiescie-al-marsz-jozefa-pilsudskiego.jpg
Łódź Bałuty,ul. Romanowska,3,70,580000,8286,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-romanowska-3-pokojowe-s6k1x7,https://s2.adresowa.pl/oi/20/1f/38e828_89a1_cover-3-pokojowe-mieszkanie-lodz-baluty-ul-romanowska.jpg
Łódź Retkinia,al. ks. kard. Stefana Wyszyńskiego,4,64,669000,10453,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-retkinia-al-ks-kard-stefana-wyszynskiego-4-pokojowe-y4q7b4,https://s2.adresowa.pl/oi/67/5c/38e71a_9161_cover-4-pokojowe-mieszkanie-lodz-retkinia-al-ks-kard-stefana-wyszynskiego.jpg
Łódź Dąbrowa,ul. Tatrzańska,2,45,339000,7533,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-dabrowa-ul-tatrzanska-2-pokojowe-p1a3x0,https://s2.adresowa.pl/oi/32/52/38e68e_5309_cover-2-pokojowe-mieszkanie-lodz-dabrowa-ul-tatrzanska.jpg
Łódź Polesie,ul. Rąbieńska,3,70,850000,12062,Bez pośredników,ponad miesiąc temu,18,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-rabienska-3-pokojowe-v5m2r8,https://s2.adresowa.pl/oi/2e/30/38e640_e2b5_cover-3-pokojowe-mieszkanie-lodz-polesie-ul-rabienska.jpg
Łódź Górna,ul. Gospodarcza,2,51,480000,9499,Bez pośredników,ponad miesiąc temu,14,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-gospodarcza-2-pokojowe-z6l6q5,https://s2.adresowa.pl/oi/5c/65/38e5ea_c690_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-gospodarcza.jpg
Łódź Śródmieście,ul. Pomorska,1,27,385000,14243,Bez pośredników,ponad miesiąc temu,15,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-pomorska-1-pokoj-b8o1e1,https://s2.adresowa.pl/oi/64/68/38e514_c534_cover-1-pokojowe-mieszkanie-lodz-srodmiescie-ul-pomorska.jpg
Łódź Bałuty,ul. Marynarska,2,45,550000,12222,Bez pośredników,ponad miesiąc temu,13,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-marynarska-2-pokojowe-w3t6e1,https://s2.adresowa.pl/oi/50/7e/38e3e6_8afd_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-marynarska.jpg
Łódź Stoki,ul. Przełęcz,1,38,285000,7600,Bez pośredników,ponad miesiąc temu,10,https://adresowo.pl/o/mieszkanie-lodz-stoki-ul-przelecz-1-pokoj-i3b5d4,https://s2.adresowa.pl/oi/64/63/38e346_4627_cover-1-pokojowe-mieszkanie-lodz-stoki-ul-przelecz.jpg
Łódź Bałuty,ul. Wrocławska,3,70,660000,9429,Bez pośredników,ponad miesiąc temu,19,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-wroclawska-3-pokojowe-b6u7n1,https://s2.adresowa.pl/oi/11/6e/38dfb4_bffb_cover-3-pokojowe-mieszkanie-lodz-baluty-ul-wroclawska.jpg
Łódź Nowe Sady,ul. Nowe Sady,3,58,734900,12671,Bez pośredników,ponad miesiąc temu,17,https://adresowo.pl/o/mieszkanie-lodz-nowe-sady-ul-nowe-sady-3-pokojowe-a1w5g2,https://s2.adresowa.pl/oi/16/19/38dfac_3365_cover-3-pokojowe-mieszkanie-lodz-nowe-sady-ul-nowe-sady.jpg
Łódź Bałuty,ul. Kaczeńcowa,5,116,1295000,11164,Bez pośredników,ponad miesiąc temu,16,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-kaczencowa-5-pokojowe-e9v3j6,https://s2.adresowa.pl/oi/6a/16/38dd92_4cc7_cover-5-pokojowe-mieszkanie-lodz-baluty-ul-kaczencowa.jpg
Łódź Radogoszcz,,2,42,415000,9797,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-radogoszcz-2-pokojowe-42-m2-f6p2e8,https://s2.adresowa.pl/oi/57/65/38da36_6380_cover-2-pokojowe-mieszkanie-lodz-radogoszcz.jpg
Łódź Bałuty,ul. Marysińska,2,47,439950,9451,Bez pośredników,ponad miesiąc temu,13,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-marysinska-2-pokojowe-b4w2a0,https://s2.adresowa.pl/oi/71/31/38d430_b8a1_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-marysinska.jpg
Łódź Polesie,ul. Grodzieńska,3,55,450000,8233,Bez pośredników,ponad miesiąc temu,9,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-grodzienska-3-pokojowe-x1g2h9,https://s2.adresowa.pl/oi/3a/5b/38d31a_6534_cover-3-pokojowe-mieszkanie-lodz-polesie-ul-grodzienska.jpg
Łódź Górna,ul. Emilii Sczanieckiej,3,66,750000,11364,Bez pośredników,ponad miesiąc temu,17,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-emilii-sczanieckiej-3-pokojowe-d3v0z4,https://s2.adresowa.pl/oi/21/1f/38d272_7c82_cover-3-pokojowe-mieszkanie-lodz-gorna-ul-emilii-sczanieckiej.jpg
Łódź Śródmieście,ul. Rawska,2,53,485000,9151,Bez pośredników,ponad miesiąc temu,7,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-rawska-2-pokojowe-g7t0a4,https://s2.adresowa.pl/oi/12/3f/38d206_a275_cover-2-pokojowe-mieszkanie-lodz-srodmiescie-ul-rawska.jpg
Łódź Górna,ul. Nowe Sady,1,34,399000,11735,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-nowe-sady-1-pokoj-o7k2x5,https://s2.adresowa.pl/oi/50/12/38d1be_9aa2_cover-1-pokojowe-mieszkanie-lodz-gorna-ul-nowe-sady.jpg
Łódź Bałuty,ul. św. Teresy od Dzieciątka Jezus,3,92,1349000,14663,Bez pośredników,ponad miesiąc temu,16,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-sw-teresy-od-dzieciatka-jezus-3-pokojowe-h1o2m2,https://s2.adresowa.pl/oi/50/67/38d0d4_efc1_cover-3-pokojowe-mieszkanie-lodz-baluty-ul-sw-teresy-od-dzieciatka-jezus.jpg
Łódź Śródmieście,ul. Prezydenta Gabriela Narutowicza,3,55,420000,7636,Bez pośredników,ponad miesiąc temu,11,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-prezydenta-gabriela-narutowicza-3-pokojowe-r9z2n4,https://s2.adresowa.pl/oi/6b/5d/38ccf8_65e9_cover-3-pokojowe-mieszkanie-lodz-srodmiescie-ul-prezydenta-gabriela-narutowicza.jpg
Łódź Olechów,ul. Leszka Białego,2,51,420000,8281,Bez pośredników,ponad miesiąc temu,19,https://adresowo.pl/o/mieszkanie-lodz-olechow-ul-leszka-bialego-2-pokojowe-m7w9k9,https://s2.adresowa.pl/oi/1a/5d/38c96a_92e4_cover-2-pokojowe-mieszkanie-lodz-olechow-ul-leszka-bialego.jpg
Łódź Marysin,ul. Łupkowa,3,65,699000,10754,Bez pośredników,ponad miesiąc temu,17,https://adresowo.pl/o/mieszkanie-lodz-marysin-ul-lupkowa-3-pokojowe-n2u5x6,https://s2.adresowa.pl/oi/28/7f/38c93a_454d_cover-3-pokojowe-mieszkanie-lodz-marysin-ul-lupkowa.jpg
Łódź Retkinia,ul. Władysława Króla,3,53,439000,8283,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-retkinia-ul-wladyslawa-krola-3-pokojowe-r4k0k3,https://s2.adresowa.pl/oi/60/4c/38c660_373b_cover-3-pokojowe-mieszkanie-lodz-retkinia-ul-wladyslawa-krola.jpg
Łódź Śródmieście,ul. Radwańska,2,50,395000,7900,Bez pośredników,ponad miesiąc temu,13,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-radwanska-2-pokojowe-a9i7w1,https://s2.adresowa.pl/oi/18/55/38c620_ccca_cover-2-pokojowe-mieszkanie-lodz-srodmiescie-ul-radwanska.jpg
Łódź Bałuty,ul. Podrzeczna,3,64,495000,7734,Bez pośredników,ponad miesiąc temu,16,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-podrzeczna-3-pokojowe-q7q8j9,https://s2.adresowa.pl/oi/4e/32/38c34a_8c73_cover-3-pokojowe-mieszkanie-lodz-baluty-ul-podrzeczna.jpg
Łódź Widzew,ul. Juliusza Jurczyńskiego,3,62,557000,8984,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-juliusza-jurczynskiego-3-pokojowe-q0n2o3,https://s2.adresowa.pl/oi/59/4b/38c17c_dc0f_cover-3-pokojowe-mieszkanie-lodz-widzew-ul-juliusza-jurczynskiego.jpg
Łódź Bałuty,ul. Franciszkańska,3,57,499000,8754,Bez pośredników,ponad miesiąc temu,14,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-franciszkanska-3-pokojowe-r9q1f0,https://s2.adresowa.pl/oi/25/6c/38c0fe_9652_cover-3-pokojowe-mieszkanie-lodz-baluty-ul-franciszkanska.jpg
Łódź Retkinia,ul. Janusza Kusocińskiego,1,32,290000,9063,Bez pośredników,ponad miesiąc temu,11,https://adresowo.pl/o/mieszkanie-lodz-retkinia-ul-janusza-kusocinskiego-1-pokoj-k0s3m2,https://s2.adresowa.pl/oi/24/75/38c046_f47d_cover-1-pokojowe-mieszkanie-lodz-retkinia-ul-janusza-kusocinskiego.jpg
Łódź Polesie,ul. Srebrzyńska,2,37,480000,13126,Bez pośredników,ponad miesiąc temu,15,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-srebrzynska-2-pokojowe-s0v0y4,https://s2.adresowa.pl/oi/6d/2d/38c048_da90_cover-2-pokojowe-mieszkanie-lodz-polesie-ul-srebrzynska.jpg
Łódź Śródmieście,ul. Gdańska,2,39,298000,7641,Bez pośredników,ponad miesiąc temu,13,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-gdanska-2-pokojowe-l0c3h9,https://s2.adresowa.pl/oi/4b/51/38c008_cb21_cover-2-pokojowe-mieszkanie-lodz-srodmiescie-ul-gdanska.jpg
Łódź Górna,ul. Sąsiedzka,2,40,485000,12002,Bez pośredników,ponad miesiąc temu,12,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-sasiedzka-2-pokojowe-t5z8s8,https://s2.adresowa.pl/oi/67/5a/38be96_846c_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-sasiedzka.jpg
Łódź Teofilów,ul. Aleksandrowska,4,78,760000,9717,Bez pośredników,ponad miesiąc temu,14,https://adresowo.pl/o/mieszkanie-lodz-teofilow-ul-aleksandrowska-4-pokojowe-x0w4n0,https://s2.adresowa.pl/oi/17/16/38be48_606d_cover-4-pokojowe-mieszkanie-lodz-teofilow-ul-aleksandrowska.jpg
Łódź Bałuty,ul. Marysińska,3,78,770000,9914,Bez pośredników,ponad miesiąc temu,20,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-marysinska-3-pokojowe-e0w8y1,https://s2.adresowa.pl/oi/4e/60/38be3a_41e5_cover-3-pokojowe-mieszkanie-lodz-baluty-ul-marysinska.jpg
Łódź Dąbrowa,,2,36,299000,8306,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-dabrowa-2-pokojowe-36-m2-i4f4u1,https://s2.adresowa.pl/oi/46/61/38bad4_f9e9_cover-2-pokojowe-mieszkanie-lodz-dabrowa.jpg
Łódź Bałuty,ul. Heleny Radlińskiej,3,62,524000,8473,Bez pośredników,ponad miesiąc temu,10,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-heleny-radlinskiej-3-pokojowe-m3b0f5,https://s2.adresowa.pl/oi/63/7f/38b944_e7af_cover-3-pokojowe-mieszkanie-lodz-baluty-ul-heleny-radlinskiej.jpg
Łódź Bałuty,ul. Wrocławska,2,53,475000,8984,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-wroclawska-2-pokojowe-n9b1o9,https://s2.adresowa.pl/oi/58/5c/38b592_2c2a_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-wroclawska.jpg
Łódź Górna,ul. Sąsiedzka,3,60,695000,11507,Bez pośredników,ponad miesiąc temu,17,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-sasiedzka-3-pokojowe-n8a2q6,https://s2.adresowa.pl/oi/3a/31/38b3fe_839c_cover-3-pokojowe-mieszkanie-lodz-gorna-ul-sasiedzka.jpg
Łódź Górna,ul. Obywatelska,2,56,419000,7482,Bez pośredników,ponad miesiąc temu,9,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-obywatelska-2-pokojowe-s0h9r2,https://s2.adresowa.pl/oi/4b/50/38b3d8_f90b_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-obywatelska.jpg
Łódź Widzew,ul. Juliana Tuwima,2,58,435000,7513,Bez pośredników,ponad miesiąc temu,10,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-juliana-tuwima-2-pokojowe-r7x8a9,https://s2.adresowa.pl/oi/56/4f/38b334_fc55_cover-2-pokojowe-mieszkanie-lodz-widzew-ul-juliana-tuwima.jpg
Łódź Teofilów,ul. Traktorowa,3,50,400000,8000,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-teofilow-ul-traktorowa-3-pokojowe-n4k8v4,https://s2.adresowa.pl/oi/20/2c/38b260_7964_cover-3-pokojowe-mieszkanie-lodz-teofilow-ul-traktorowa.jpg
Łódź Teofilów,ul. Traktorowa,2,45,339000,7533,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-teofilow-ul-traktorowa-2-pokojowe-i5l0r8,https://s2.adresowa.pl/oi/61/61/38b066_e28c_cover-2-pokojowe-mieszkanie-lodz-teofilow-ul-traktorowa.jpg
Łódź Polesie,ul. Gdańska,2,63,399000,6333,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-gdanska-2-pokojowe-m3u7z9,https://s2.adresowa.pl/oi/24/7b/38ae3c_27aa_cover-2-pokojowe-mieszkanie-lodz-polesie-ul-gdanska.jpg
Łódź Górna,,2,36,253000,7028,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-gorna-2-pokojowe-36-m2-u4e4m3,https://s2.adresowa.pl/oi/36/75/38adc8_31db_cover-2-pokojowe-mieszkanie-lodz-gorna.jpg
Łódź Górna,ul. Rabindranatha Tagore'a,2,36,315000,8750,Bez pośredników,ponad miesiąc temu,18,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-rabindranatha-tagore-a-2-pokojowe-y7t4w0,https://s2.adresowa.pl/oi/14/76/38ac74_2f4d_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-rabindranatha-tagore-a.jpg
Łódź Górna,ul. Lucjana Rydla,2,37,330000,8994,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-lucjana-rydla-2-pokojowe-s8m8y3,https://s2.adresowa.pl/oi/5b/33/38a7aa_f6bc_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-lucjana-rydla.jpg
Łódź Radogoszcz,ul. Łozowa,3,74,890000,11980,Bez pośredników,ponad miesiąc temu,19,https://adresowo.pl/o/mieszkanie-lodz-radogoszcz-ul-lozowa-3-pokojowe-f6m5m9,https://s2.adresowa.pl/oi/65/43/38a04a_3ab1_cover-3-pokojowe-mieszkanie-lodz-radogoszcz-ul-lozowa.jpg
Łódź Bałuty,ul. Wrocławska,2,54,470000,8704,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-wroclawska-2-pokojowe-v4k9d0,https://s2.adresowa.pl/oi/38/54/389f38_be64_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-wroclawska.jpg
Łódź Śródmieście,ul. Grabowa,4,62,520000,8387,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-grabowa-4-pokojowe-x5q8w7,https://s2.adresowa.pl/oi/10/5a/389f16_9a76_cover-4-pokojowe-mieszkanie-lodz-srodmiescie-ul-grabowa.jpg
Łódź Teofilów,ul. Turoszowska,2,37,279000,7460,Bez pośredników,ponad miesiąc temu,18,https://adresowo.pl/o/mieszkanie-lodz-teofilow-ul-turoszowska-2-pokojowe-e1d0y5,https://s2.adresowa.pl/oi/39/1b/389dde_fac3_cover-2-pokojowe-mieszkanie-lodz-teofilow-ul-turoszowska.jpg
Łódź Bałuty,ul. Mahatmy Gandhiego,2,38,449000,11816,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-mahatmy-gandhiego-2-pokojowe-c9y5z3,https://s2.adresowa.pl/oi/7e/5a/389964_a590_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-mahatmy-gandhiego.jpg
Łódź Śródmieście,ul. Tramwajowa,3,64,799999,12500,Bez pośredników,ponad miesiąc temu,20,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-tramwajowa-3-pokojowe-m4k1o1,https://s2.adresowa.pl/oi/6c/66/389800_f5ac_cover-3-pokojowe-mieszkanie-lodz-srodmiescie-ul-tramwajowa.jpg
Łódź Zarzew,ul. Poznańska,3,74,750000,10135,Bez pośredników,ponad miesiąc temu,11,https://adresowo.pl/o/mieszkanie-lodz-zarzew-ul-poznanska-3-pokojowe-h6x5h1,https://s2.adresowa.pl/oi/7c/14/3897a4_c30f_cover-3-pokojowe-mieszkanie-lodz-zarzew-ul-poznanska.jpg
Łódź Kurak,ul. Bednarska,2,35,276000,7777,Bez pośredników,ponad miesiąc temu,1,https://adresowo.pl/o/mieszkanie-lodz-kurak-ul-bednarska-2-pokojowe-m8t1r7,https://s2.adresowa.pl/oi/54/1d/38966e_d854_cover-2-pokojowe-mieszkanie-lodz-kurak-ul-bednarska.jpg
Łódź Śródmieście,ul. Prezydenta Gabriela Narutowicza,3,90,500000,5556,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-prezydenta-gabriela-narutowicza-3-pokojowe-n7i3l8,https://s2.adresowa.pl/oi/1b/6a/388d4e_b4b9_cover-3-pokojowe-mieszkanie-lodz-srodmiescie-ul-prezydenta-gabriela-narutowicza.jpg
Łódź Retkinia,ul. Retkińska,2,42,439000,10395,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-retkinia-ul-retkinska-2-pokojowe-r2r1c5,https://s2.adresowa.pl/oi/75/5a/388c7e_5c1f_cover-2-pokojowe-mieszkanie-lodz-retkinia-ul-retkinska.jpg
Łódź Retkinia,ul. Retkińska,2,42,415000,9783,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-retkinia-ul-retkinska-2-pokojowe-n7w8a4,https://s2.adresowa.pl/oi/3a/43/388a6c_4cb7_cover-2-pokojowe-mieszkanie-lodz-retkinia-ul-retkinska.jpg
Łódź Bałuty,ul. Bolesława Limanowskiego,2,52,279000,5346,Bez pośredników,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-boleslawa-limanowskiego-2-pokojowe-w2j0s2,https://s2.adresowa.pl/oi/5b/73/38897a_eb02_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-boleslawa-limanowskiego.jpg
Łódź Polesie,ul. Armii Krajowej,3,53,385000,7268,Bez pośredników,ponad miesiąc temu,12,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-armii-krajowej-3-pokojowe-s1n0e3,https://s2.adresowa.pl/oi/15/5a/3884bc_5049_cover-3-pokojowe-mieszkanie-lodz-polesie-ul-armii-krajowej.jpg
Łódź Bałuty,ul. Marysińska,3,57,495000,8684,Bez pośredników,ponad miesiąc temu,19,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-marysinska-3-pokojowe-x7k7f0,https://s2.adresowa.pl/oi/6b/53/388406_c85b_cover-3-pokojowe-mieszkanie-lodz-baluty-ul-marysinska.jpg
Łódź Bałuty,ul. Urzędnicza,4,78,520000,6667,Bez pośredników,ponad miesiąc temu,15,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-urzednicza-4-pokojowe-e6p4l6,https://s2.adresowa.pl/oi/7e/18/3908e4_9c43_cover-4-pokojowe-mieszkanie-lodz-baluty-ul-urzednicza.jpg
Łódź Retkinia,ul. Hubala,2,51,469000,9196,Bez pośredników,ponad miesiąc temu,16,https://adresowo.pl/o/mieszkanie-lodz-retkinia-ul-hubala-2-pokojowe-f9v9q7,https://s2.adresowa.pl/oi/4d/4d/388394_ca33_cover-2-pokojowe-mieszkanie-lodz-retkinia-ul-hubala.jpg
Łódź Śródmieście,ul. Uniwersytecka,2,49,490000,10062,Bez pośredników,ponad miesiąc temu,20,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-uniwersytecka-2-pokojowe-l2a4l4,https://s2.adresowa.pl/oi/77/4b/387ec6_c066_cover-2-pokojowe-mieszkanie-lodz-srodmiescie-ul-uniwersytecka.jpg
,,,,,,Pośrednik,,,https://adresowo.pl/mieszkania/lodz/baluty-P/,
Łódź Polesie,ul. 6 Sierpnia,3,77,558000,7247,Bez pośredników,ponad miesiąc temu,20,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-6-sierpnia-3-pokojowe-d5w2b3,https://s2.adresowa.pl/oi/68/60/387cc6_dcb9_cover-3-pokojowe-mieszkanie-lodz-polesie-ul-6-sierpnia.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Bałuty,ul. Emilii Plater,2,37,305000,8243,Bez pośredników,ponad miesiąc temu,12,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-emilii-plater-2-pokojowe-l9s7q5,https://s2.adresowa.pl/oi/77/78/387c7c_3dfd_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-emilii-plater.jpg
Łódź,ul. ks. bp. Wincentego Tymienieckiego,2,42,500000,11905,Bez pośredników,ponad miesiąc temu,9,https://adresowo.pl/o/mieszkanie-lodz-ul-ks-bp-wincentego-tymienieckiego-2-pokojowe-f1u2m2,https://s2.adresowa.pl/oi/3b/3f/387bc2_68d5_cover-2-pokojowe-mieszkanie-lodz-ul-ks-bp-wincentego-tymienieckiego.jpg
Łódź Śródmieście,ul. Williama Lindleya,2,34,379350,11157,Bez pośredników,ponad miesiąc temu,4,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-williama-lindleya-2-pokojowe-c8w5e3,https://s2.adresowa.pl/oi/2f/3a/386bc6_8bcc_cover-2-pokojowe-mieszkanie-lodz-srodmiescie-ul-williama-lindleya.jpg
Łódź Polesie,ul. Marcina Kasprzaka,3,60,523512,8750,Bez pośredników,ponad miesiąc temu,13,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-marcina-kasprzaka-3-pokojowe-w0h4x2,https://s2.adresowa.pl/oi/2b/2a/386b00_3ae2_cover-3-pokojowe-mieszkanie-lodz-polesie-ul-marcina-kasprzaka.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Bałuty,,3,119,2264990,19000,Bez pośredników,ponad miesiąc temu,14,https://adresowo.pl/o/mieszkanie-lodz-baluty-3-pokojowe-119-m2-t9g6n6,https://s2.adresowa.pl/oi/4d/30/38637a_edb2_cover-3-pokojowe-mieszkanie-lodz-baluty.jpg
Łódź Śródmieście,ul. dr. Adama Próchnika,2,98,499999,5102,Bez pośredników,ponad miesiąc temu,10,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-dr-adama-prochnika-2-pokojowe-v3c6q8,https://s2.adresowa.pl/oi/52/48/3861a8_e48c_cover-2-pokojowe-mieszkanie-lodz-srodmiescie-ul-dr-adama-prochnika.jpg
