Lokalizacja,Ulica,Liczba Pokoi,Metraż (m²),Cena Całkowita (zł),Cena za m² (zł),Typ Oferty,Data Dodania,Liczba Zdjęć,Link do Oferty,Link do Zdjęcia
Łódź Górna,ul. Dźwiękowa,1,35,274000,7942,Oferta biura nieruchomości,ponad tydzień temu,19,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-dzwiekowa-1-pokoj-h0z7c0,https://s2.adresowa.pl/oi/14/1e/39940c_3098_cover-1-pokojowe-mieszkanie-lodz-gorna-ul-dzwiekowa.jpg
Łódź Olechów,ul. Zakładowa,3,67,598700,8900,Oferta biura nieruchomości,ponad tydzień temu,20,https://adresowo.pl/o/mieszkanie-lodz-olechow-ul-zakladowa-3-pokojowe-b3e5o1,https://s2.adresowa.pl/oi/39/4d/399078_e854_cover-3-pokojowe-mieszkanie-lodz-olechow-ul-zakladowa.jpg
Łódź Górna,Bajeczna,5,115,1300000,11268,Bez pośredników,wczoraj,17,https://adresowo.pl/o/mieszkanie-lodz-gorna-bajeczna-5-pokojowe-m0b3i0,https://s2.adresowa.pl/oi/38/5f/39d7d6_6457_cover-5-pokojowe-mieszkanie-lodz-gorna-bajeczna.jpg
Łódź Bałuty,ul. Łagiewnicka,3,47,475000,10106,Bez pośredników,4 dni temu,14,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-lagiewnicka-3-pokojowe-k2o7e4,https://s2.adresowa.pl/oi/2b/40/39c896_b324_cover-3-pokojowe-mieszkanie-lodz-baluty-ul-lagiewnicka.jpg
Łódź Widzew,ul. Łęczycka,3,44,455000,10341,Bez pośredników,4 dni temu,14,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-leczycka-3-pokojowe-v1n8u5,https://s2.adresowa.pl/oi/70/79/39c890_3880_cover-3-pokojowe-mieszkanie-lodz-widzew-ul-leczycka.jpg
,,,,,,Pośrednik,,,https://adresowo.pl/mieszkania/lodz/baluty-P/,
Łódź Bałuty,,1,26,279999,10769,Bez pośredników,4 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-1-pokoj-26-m2-i4q7d2,https://s2.adresowa.pl/oi/7d/1a/39c7b4_cc29_cover-1-pokojowe-mieszkanie-lodz-baluty.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Górna,ul. Społeczna,2,51,365000,7153,Oferta biura nieruchomości,ponad tydzień temu,15,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-spoleczna-2-pokojowe-n3v7b4,https://s2.adresowa.pl/oi/55/31/398cee_6d04_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-spoleczna.jpg
